,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/GFP-A+ | Median (Comp-B525-A :: GFP-A),Beads/Singlets - Beads/Final Bead Counts | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+ | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Freq. of Live (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Freq. of Live (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells | Mean (Comp-B525-A :: GFP-A),
Compensation Specimen_A1_Unstained.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A2_Y780 CD4.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A3_R667 CD8.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A4_Y615 mCherry.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A5_B525 GFP.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A5_V525 CD45.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A6_R780 Live_Dead.fcs,,,,,,,,,,,,,,,,,,,,
Spleen_A1_1.1.fcs,0.86,0.76,0.89,0.87,9668,7072,5863,6709,9658,256413,86917,45706,38529,17.4,14.7,2249,1978,2139,1731,
Spleen_A2_1.2.fcs,0.65,0.72,0.72,0.64,8923,6820,5674,6385,15044,247983,81128,44891,34284,17.5,13.4,2231,1956,2124,1748,
Spleen_A3_1.3.fcs,0.92,1.30,1.10,1.30,9897,6775,5748,6406,6434,239066,76082,39216,34840,15.4,13.6,2268,2073,2194,1845,
Spleen_A4_2.1.fcs,5.00,5.00,4.88,3.26,16189,67574,17444,17444,175,133,41.0,20.0,20.0,15.0,15.0,5270,2556,3906,2434,
Spleen_A6_2.3.fcs,1.66,2.79,2.22,2.04,11471,7482,6491,7190,5237,248076,78553,42947,33796,17.1,13.5,2372,2260,2354,2260,
Spleen_A7_3.1.fcs,2.12,3.03,2.77,2.19,11705,7383,6406,7119,9384,245638,80618,44024,34730,17.5,13.8,2608,2491,2602,2468,
Spleen_A8_3.2.fcs,2.06,3.23,2.70,2.48,12106,7167,6199,6888,10131,242562,82549,43851,36820,17.7,14.8,2623,2536,2625,2698,
Spleen_A9_3.3.fcs,1.99,3.55,2.88,2.35,12521,7190,6577,7096,8492,245903,69647,38427,29361,15.4,11.7,2544,2605,2627,2535,
Spleen_A10_4.1.fcs,3.70,5.17,4.08,1.90,10654,7359,5940,6820,6533,252184,66736,32842,31789,12.9,12.5,2733,2742,2760,2147,
Spleen_A11_4.2.fcs,5.90,7.04,6.17,2.18,9733,7482,5979,6957,4462,253405,68216,35601,30233,14.0,11.9,3112,2983,3074,2277,
Spleen_A12_4.3.fcs,4.46,5.56,4.63,1.82,9476,7432,5843,6843,3486,254108,60108,30307,25571,11.8,9.91,2855,2774,2829,2087,
Spleen_B1_5.1.fcs,2.57,3.45,2.95,1.55,9798,7632,6138,7096,6564,244432,71150,38424,29926,15.6,12.2,2669,2451,2595,2070,
Spleen_B2_5.2.fcs,2.72,3.10,2.94,1.90,9831,7383,6018,6888,8386,239053,68871,37780,27893,15.5,11.5,2636,2411,2556,2272,
Spleen_B3_5.3.fcs,3.62,4.12,3.85,2.31,9508,7683,6058,7119,12432,235226,69532,37564,29663,15.5,12.2,2900,2604,2805,2432,
Spleen_B4_6.1.fcs,2.69,4.23,3.50,2.14,10908,7262,6364,7238,5462,246928,67038,35069,29863,14.0,12.0,2730,2705,2765,2310,
Spleen_B5_6.2.fcs,2.34,3.96,3.08,2.47,11356,7096,6322,6980,6920,240804,66486,35105,29459,14.4,12.1,2637,2636,2665,2413,
